N,P,K,pH,Moisture,Fertility
41.71,41.03,32.42,6.56,41.51,Medium
76.97,46.19,57.96,6.0,54.33,High
18.49,5.02,15.49,5.32,28.61,Low
30.0,41.58,21.64,6.82,48.55,Medium
35.14,17.22,3.37,5.21,27.2,Low
35.63,31.77,29.03,6.58,44.54,Medium
48.53,42.17,36.66,6.97,40.15,Medium
49.13,31.59,32.69,6.54,53.3,Medium
70.88,25.5,31.54,6.09,26.08,Medium
59.82,42.95,46.81,7.21,47.14,Medium
116.9,40.76,68.66,6.85,45.0,High
44.43,30.98,15.0,6.28,56.57,Medium
30.0,18.67,34.99,6.7,61.55,Medium
45.94,27.61,16.04,6.6,51.03,Medium
86.85,50.15,39.51,6.79,60.74,High
39.28,35.67,55.0,5.86,38.94,Medium
47.28,16.51,30.63,5.5,52.48,Medium
28.26,24.66,0.0,5.78,30.63,Low
54.26,15.0,50.13,6.66,47.4,Medium
35.04,11.35,13.73,4.08,26.1,Low
35.52,12.22,6.61,5.15,13.56,Low
44.66,23.33,38.74,7.5,52.27,Medium
64.99,19.36,26.31,6.64,65.41,Medium
59.29,36.23,19.14,6.46,42.97,Medium
17.36,3.83,6.44,4.82,17.58,Low
68.3,75.74,51.42,6.77,56.77,High
34.22,39.31,36.56,6.04,32.0,Medium
33.03,11.26,2.12,4.5,24.32,Low
34.37,8.82,3.08,3.76,41.35,Low
80.0,30.2,21.09,6.32,32.23,Medium
101.13,53.89,53.3,7.34,54.8,High
68.4,45.29,40.73,7.28,70.97,High
19.3,0.0,19.71,5.93,30.82,Low
48.54,15.0,22.13,5.57,59.62,Medium
45.61,25.42,15.27,5.56,33.14,Medium
76.0,28.98,40.1,5.77,54.66,Medium
21.92,7.88,14.7,5.03,11.44,Low
81.23,60.34,49.61,6.29,57.78,High
47.18,12.1,21.43,5.51,23.95,Low
60.78,27.31,35.58,6.2,67.57,Medium
55.67,22.81,54.47,5.99,66.29,Medium
33.86,33.92,27.42,5.5,38.44,Medium
5.7,12.82,20.84,5.09,31.14,Low
30.0,27.57,15.0,6.45,58.45,Medium
56.54,29.06,39.65,6.98,52.03,Medium
87.35,69.18,57.59,7.17,73.9,High
65.29,29.89,31.0,6.39,70.0,Medium
14.61,10.1,21.41,4.29,36.81,Low
98.5,48.44,37.75,6.16,65.72,High
59.6,31.14,15.0,6.12,49.48,Medium
77.15,30.0,74.21,6.35,57.3,High
51.82,29.91,25.08,5.62,44.58,Medium
42.09,22.53,8.98,4.17,19.99,Low
37.93,36.22,29.7,6.17,37.15,Medium
60.0,30.0,57.4,7.08,57.79,High
110.75,51.29,51.12,7.01,49.38,High
56.81,20.81,16.57,6.46,52.33,Medium
22.14,11.13,14.12,5.18,35.78,Low
38.43,18.22,45.57,6.92,62.82,Medium
29.52,11.22,12.48,5.42,12.53,Low
70.4,24.95,24.25,6.91,41.29,Medium
26.67,14.17,8.49,5.63,15.46,Low
34.64,49.78,25.52,6.69,61.5,Medium
44.91,7.88,1.81,4.63,15.32,Low
66.01,37.23,15.49,6.61,54.62,Medium
87.98,53.41,59.42,7.18,72.67,High
69.48,70.63,35.22,6.99,57.31,High
41.38,21.17,12.7,4.85,42.69,Low
43.65,15.65,9.31,5.97,28.59,Low
54.77,26.58,45.1,5.5,48.68,Medium
32.22,11.34,22.72,5.02,20.25,Low
41.47,15.0,22.3,6.87,47.74,Medium
66.91,52.08,41.28,6.03,49.05,Medium
31.66,17.41,7.44,4.06,24.19,Low
23.77,19.39,10.27,5.75,17.44,Low
9.29,0.0,6.41,4.28,25.72,Low
72.38,38.79,33.73,6.06,70.0,Medium
53.35,27.5,27.98,7.5,51.14,Medium
37.3,19.15,20.76,7.04,66.24,Medium
31.69,13.27,16.72,5.0,33.18,Low
24.63,17.53,22.39,4.34,26.83,Low
31.78,13.86,15.96,5.35,17.47,Low
88.64,53.46,64.04,6.08,70.5,High
69.45,34.71,33.73,5.96,25.0,Medium
69.22,31.26,30.84,6.27,62.62,Medium
75.79,40.94,46.22,7.16,57.76,High
88.93,45.68,34.03,6.73,74.15,High
75.34,22.41,28.28,5.5,45.95,Medium
95.81,54.64,43.29,6.97,50.53,High
9.43,7.65,7.37,4.84,5.08,Low
52.97,10.86,11.17,5.9,36.26,Low
100.35,53.4,57.9,6.62,50.7,High
44.64,31.29,15.0,6.21,70.0,Medium
39.71,15.61,41.69,6.2,48.72,Medium
37.04,17.11,37.99,5.96,58.98,Medium
58.17,36.73,46.05,6.17,68.62,Medium
47.98,27.93,43.49,5.76,42.85,Medium
76.34,68.92,55.54,7.13,54.96,High
60.0,72.35,42.55,8.0,60.17,High
49.64,40.66,37.33,6.36,58.09,Medium
68.6,15.0,20.47,6.11,65.97,Medium
84.48,52.95,56.93,6.44,45.0,High
49.3,37.55,55.0,5.76,51.92,Medium
55.72,28.76,23.62,7.5,25.0,Medium
18.44,16.99,7.5,5.19,24.99,Low
98.41,62.68,45.26,6.17,47.66,High
73.59,34.2,57.67,6.98,66.12,High
46.48,23.04,15.0,5.5,55.41,Medium
38.91,43.14,20.97,7.24,34.7,Medium
81.62,63.48,56.99,6.49,47.29,High
61.29,48.12,41.24,7.49,40.54,Medium
94.33,36.93,57.02,6.99,62.94,High
32.93,16.88,19.33,6.55,54.48,Medium
69.45,36.26,28.52,6.88,39.18,Medium
93.93,63.7,57.0,6.0,62.86,High
57.65,22.87,24.23,6.71,45.58,Medium
32.66,33.61,36.9,6.79,44.36,Medium
71.51,31.96,36.21,7.03,59.98,Medium
65.88,34.43,35.53,6.81,43.49,Medium
58.35,31.04,34.7,6.65,54.21,Medium
104.69,72.62,53.2,6.69,62.67,High
14.92,7.78,6.43,5.26,18.6,Low
51.09,33.17,34.89,5.56,56.48,Medium
50.86,38.32,15.0,6.28,47.86,Medium
28.06,5.41,14.65,5.72,23.56,Low
98.21,61.87,51.86,7.65,49.65,High
5.7,17.77,11.59,5.37,24.3,Low
13.14,13.4,10.11,5.32,18.37,Low
109.02,43.61,55.31,7.62,58.1,High
38.17,12.51,5.19,4.68,35.15,Low
13.35,17.98,11.88,4.44,29.89,Low
26.61,13.13,8.59,4.51,31.21,Low
106.23,68.68,63.45,6.49,64.33,High
104.29,34.98,56.98,6.52,51.55,High
90.96,60.63,57.57,6.6,51.31,High
107.92,70.26,61.51,6.54,60.44,High
77.74,21.16,19.14,6.12,50.59,Medium
62.23,73.98,69.55,6.84,65.26,High
78.27,81.99,79.53,7.14,67.65,High
60.2,30.86,43.3,5.5,49.54,Medium
64.12,67.07,64.67,6.4,69.89,High
47.9,16.86,30.82,6.9,39.49,Medium
23.81,18.26,8.41,4.95,33.46,Low
45.79,37.53,29.77,6.96,59.39,Medium
63.93,22.9,35.4,7.14,40.97,Medium
55.07,15.0,35.0,6.04,38.55,Medium
17.43,21.03,13.28,5.44,5.0,Low
59.43,22.2,28.35,7.26,57.42,Medium
98.17,54.14,51.06,6.44,53.67,High
40.35,24.68,34.17,6.17,42.12,Medium
19.15,3.02,14.75,5.01,27.46,Low
101.74,71.85,71.07,6.76,83.29,High
21.17,7.92,5.24,4.05,14.6,Low
117.05,74.23,59.18,6.56,62.93,High
128.84,67.49,54.93,6.14,63.14,High
45.95,33.45,27.93,6.43,47.79,Medium
69.28,47.35,71.02,6.01,83.42,High
53.91,21.78,27.82,6.91,54.78,Medium
38.78,30.08,33.83,6.24,48.59,Medium
60.12,22.49,29.81,6.35,38.7,Medium
26.63,13.98,3.52,4.62,29.04,Low
27.34,9.11,10.94,4.28,28.09,Low
62.46,31.31,25.49,6.76,45.17,Medium
71.51,81.06,59.77,6.68,73.99,High
18.0,16.7,15.78,4.18,26.47,Low
8.41,17.17,19.99,6.0,18.1,Low
35.77,15.53,3.11,5.07,25.28,Low
123.63,30.0,56.7,6.79,55.81,High
17.03,0.65,11.38,5.43,21.66,Low
53.09,36.27,15.0,5.9,50.28,Medium
100.31,57.71,62.86,6.87,52.86,High
45.46,39.42,32.02,6.61,52.45,Medium
31.05,37.42,25.43,5.7,31.34,Medium
82.92,59.04,44.52,7.01,52.48,High
6.13,25.53,14.48,5.19,18.33,Low
30.0,30.02,15.0,7.04,70.0,Medium
90.31,57.9,51.28,6.86,49.65,High
24.78,20.64,15.17,4.91,14.18,Low
65.98,32.5,15.0,5.7,70.0,Medium
79.76,37.73,47.41,7.28,61.78,High
48.14,26.48,27.85,6.99,46.21,Medium
24.82,14.24,8.94,4.23,31.46,Low
86.24,76.71,43.06,6.0,71.41,High
53.54,22.42,47.1,6.77,44.64,Medium
28.29,16.72,9.36,5.42,36.84,Low
86.19,65.91,45.27,6.02,58.96,High
16.32,4.91,11.6,6.0,20.81,Low
52.49,15.0,31.71,6.22,60.26,Medium
56.87,33.4,31.76,7.05,57.63,Medium
42.25,36.09,23.93,6.62,52.97,Medium
100.54,60.27,60.23,7.26,67.8,High
86.27,30.0,54.9,7.12,73.66,High
64.87,40.4,27.92,5.9,51.15,Medium
96.53,63.06,75.61,7.22,49.98,High
16.01,16.46,13.31,5.58,45.0,Low
43.49,28.78,37.56,6.64,46.58,Medium
35.3,26.45,31.37,5.5,70.0,Medium
32.06,23.92,35.02,7.05,65.13,Medium
49.83,38.67,46.12,6.07,46.47,Medium
17.06,11.39,17.7,4.62,21.33,Low
111.14,60.49,46.01,6.37,81.59,High
78.55,40.07,54.08,6.69,54.08,High
32.76,51.81,53.05,5.65,34.77,Medium
92.61,53.88,62.5,7.21,66.84,High
40.56,44.24,42.96,6.69,52.68,Medium
55.78,17.17,31.86,5.59,46.68,Medium
94.06,64.93,56.03,6.68,63.35,High
98.21,41.16,34.84,6.75,47.02,High
26.51,21.64,7.18,3.84,39.0,Low
8.29,17.48,17.74,3.9,28.15,Low
21.23,11.99,10.0,4.88,28.33,Low
91.57,65.13,61.38,7.66,63.4,High
44.44,34.39,29.6,6.28,54.14,Medium
41.94,8.26,7.07,4.73,28.69,Low
44.61,19.83,42.49,6.27,36.02,Medium
53.61,15.0,44.51,6.42,41.71,Medium
35.44,31.23,24.84,7.12,39.67,Medium
48.89,35.22,20.54,6.51,33.45,Medium
60.35,21.9,44.88,7.32,64.98,Medium
60.97,40.45,25.73,6.05,38.56,Medium
28.27,12.64,20.82,6.0,42.92,Low
59.83,30.2,29.71,7.0,33.25,Medium
63.51,32.55,38.15,6.75,36.08,Medium
104.11,55.3,57.1,7.01,59.73,High
55.34,46.83,28.34,6.35,43.12,Medium
52.06,23.76,24.37,6.32,39.47,Medium
45.49,37.63,30.68,5.73,58.86,Medium
94.38,67.95,43.02,6.77,61.41,High
52.16,39.91,32.39,6.63,42.06,Medium
69.19,36.01,38.51,6.85,65.45,Medium
79.86,56.65,57.89,6.8,76.19,High
19.56,7.58,9.08,4.63,20.31,Low
22.11,21.64,17.47,5.24,17.44,Low
86.68,53.46,49.91,6.0,69.75,High
41.21,29.83,31.12,6.49,58.94,Medium
56.9,33.62,32.91,5.62,31.54,Medium
77.6,74.83,48.05,6.32,82.99,High
38.5,34.86,26.4,6.87,25.0,Medium
72.82,47.9,58.4,6.86,60.1,High
66.05,36.81,19.87,6.02,49.56,Medium
95.43,50.14,65.46,6.76,56.45,High
55.5,18.51,28.06,5.5,49.03,Medium
54.04,25.19,31.28,6.02,70.0,Medium
30.0,44.12,28.83,5.89,46.28,Medium
30.41,7.34,5.48,5.71,26.28,Low
13.92,15.08,11.6,5.36,26.42,Low
59.14,33.45,33.49,5.95,46.84,Medium
24.65,11.91,21.05,6.0,22.69,Low
54.34,19.63,55.0,5.5,25.0,Medium
52.54,31.16,35.97,6.59,32.67,Medium
30.0,17.06,15.0,5.82,61.13,Medium
76.01,61.41,39.69,6.0,73.9,High
50.81,32.45,21.91,7.4,50.87,Medium
101.97,61.88,64.33,7.2,57.73,High
21.6,9.1,16.63,6.0,33.07,Low
82.98,72.76,57.22,6.59,45.0,High
34.6,15.58,9.32,4.05,18.08,Low
29.17,14.25,15.08,5.79,34.87,Low
84.33,38.91,83.36,6.0,45.0,High
100.81,58.16,52.53,6.69,60.84,High
65.26,35.27,33.64,6.02,57.3,Medium
69.98,31.98,29.59,6.54,40.7,Medium
96.2,56.47,50.21,6.17,67.02,High
51.79,41.88,37.6,6.5,39.23,Medium
16.15,12.55,17.01,5.33,9.48,Low
55.42,32.11,26.28,7.5,43.2,Medium
120.47,62.25,45.16,7.17,52.62,High
126.27,45.63,44.5,6.89,59.88,High
30.0,19.64,33.76,6.94,33.07,Medium
60.0,58.19,45.47,7.82,59.93,High
87.94,41.27,53.69,6.58,50.59,High
102.77,62.2,64.86,6.76,53.64,High
83.8,35.11,57.0,7.2,66.55,High
93.39,41.58,77.75,6.14,46.54,High
81.27,48.62,59.86,7.67,77.82,High
68.47,42.96,61.38,7.01,74.71,High
42.11,19.19,35.85,6.72,34.73,Medium
61.35,22.99,32.11,6.77,57.05,Medium
2.93,13.29,3.46,5.28,21.18,Low
45.43,22.8,25.72,6.02,48.54,Medium
51.28,28.37,28.18,6.35,61.42,Medium
69.51,43.28,17.69,6.5,47.12,Medium
30.0,34.35,17.63,6.0,48.76,Medium
57.06,26.89,33.97,6.88,39.69,Medium
38.19,26.18,37.43,6.22,25.0,Medium
47.36,17.66,30.41,6.25,44.81,Medium
99.62,62.91,43.34,7.26,61.14,High
80.6,47.92,46.57,6.98,75.49,High
62.12,48.88,70.01,7.75,73.67,High
18.55,1.73,12.8,3.75,28.94,Low
26.7,8.39,0.0,5.43,25.15,Low
77.65,72.21,58.54,6.44,63.33,High
35.44,10.6,14.89,5.62,41.49,Low
94.66,56.64,62.19,7.05,45.0,High
14.27,1.73,8.86,6.0,7.19,Low
89.3,47.48,58.5,6.68,63.82,High
34.45,10.56,21.48,5.63,16.66,Low
62.4,50.06,21.63,5.96,52.33,Medium
21.65,12.26,18.12,6.0,25.78,Low
28.69,7.85,4.88,5.56,22.39,Low
19.94,9.12,18.02,5.68,24.1,Low
66.53,57.73,44.49,7.66,79.54,High
99.47,63.98,59.33,7.32,45.0,High
23.89,22.59,6.48,5.55,24.98,Low
48.7,9.03,10.17,4.16,32.78,Low
77.52,57.8,68.27,7.27,71.83,High
44.4,43.6,29.7,6.46,60.84,Medium
36.37,20.21,33.05,7.28,40.34,Medium
100.55,69.41,54.74,7.21,51.32,High
54.01,34.35,35.5,6.83,52.18,Medium
75.32,22.51,34.14,6.64,27.52,Medium
52.91,40.59,29.21,5.77,42.31,Medium
58.34,24.25,39.19,6.69,68.63,Medium
39.42,8.26,6.83,5.15,13.14,Low
50.18,32.04,15.0,5.84,41.05,Medium
44.7,28.92,26.21,6.17,45.05,Medium
48.45,33.12,18.09,6.18,41.7,Medium
75.82,55.4,66.28,6.3,64.29,High
18.38,18.77,11.3,6.0,38.34,Low
73.11,51.03,36.89,6.31,45.78,Medium
43.63,42.73,30.96,5.5,70.0,Medium
93.76,55.56,58.48,6.0,48.02,High
78.37,57.78,50.71,6.65,53.63,High
86.72,48.2,30.0,6.68,76.69,High
53.07,28.21,24.12,6.18,29.1,Medium
68.44,33.16,48.54,6.01,49.22,Medium
10.12,23.65,14.31,4.86,20.49,Low
26.1,0.0,12.62,4.93,20.33,Low
49.85,34.79,39.71,5.7,45.59,Medium
34.61,30.03,16.24,6.37,62.03,Medium
66.23,47.46,56.97,7.07,77.89,High
36.65,8.29,9.27,5.34,19.84,Low
78.26,54.92,49.78,6.81,58.88,High
16.95,24.58,8.22,5.76,26.64,Low
51.11,22.5,17.46,6.9,38.99,Medium
87.72,59.07,54.58,7.37,66.79,High
55.89,49.33,37.18,6.71,39.99,Medium
40.05,11.62,13.32,5.14,35.61,Low
68.23,26.75,35.5,7.35,47.53,Medium
70.41,31.39,22.34,7.12,45.78,Medium
50.17,44.95,33.36,6.82,56.33,Medium
72.45,36.18,24.68,6.45,55.18,Medium
28.99,13.91,6.64,5.53,30.38,Low
61.41,16.13,33.82,6.9,70.0,Medium
62.82,27.34,32.99,6.94,45.72,Medium
57.47,23.47,22.52,6.4,51.12,Medium
20.54,11.62,17.4,5.21,13.44,Low
66.31,56.44,48.89,6.1,65.06,High
30.0,30.89,15.0,5.5,46.9,Medium
70.21,31.47,28.45,6.33,40.37,Medium
52.17,22.39,31.46,7.18,45.55,Medium
94.83,57.73,46.19,7.3,60.81,High
19.27,9.86,11.67,3.79,26.27,Low
36.71,22.07,24.44,6.03,60.0,Medium
33.77,38.93,30.29,5.5,33.43,Medium
48.64,36.69,16.69,5.98,32.03,Medium
35.94,9.13,25.27,4.73,14.32,Low
77.35,24.97,27.91,5.76,33.13,Medium
98.33,81.83,79.23,7.21,58.57,High
51.92,38.21,23.6,6.48,54.52,Medium
24.51,24.6,7.55,6.0,32.4,Low
43.74,15.0,31.52,6.68,37.37,Medium
99.55,44.89,46.34,6.56,45.0,High
96.63,33.11,46.16,7.22,58.96,High
63.49,43.11,23.26,6.06,46.56,Medium
55.2,45.17,47.91,6.17,57.89,Medium
48.79,33.84,34.19,5.84,62.24,Medium
48.36,36.88,47.54,6.35,39.9,Medium
80.05,43.37,52.41,6.82,45.0,High
37.24,8.56,15.19,6.0,23.4,Low
56.11,29.57,35.56,5.93,51.9,Medium
93.66,55.45,53.94,7.47,45.0,High
58.01,31.86,51.11,6.0,63.38,Medium
0.0,10.69,8.7,4.51,24.93,Low
65.0,15.0,37.3,6.33,40.13,Medium
37.97,6.23,5.98,5.25,25.77,Low
30.3,7.71,7.32,4.76,23.81,Low
26.31,15.26,11.53,5.03,24.33,Low
77.66,31.83,60.84,6.39,58.1,High
32.62,16.76,6.69,4.58,19.47,Low
88.87,70.46,65.06,6.92,57.67,High
80.0,30.3,43.24,6.61,58.29,Medium
76.95,36.26,63.76,6.31,45.0,High
47.35,15.0,30.59,6.27,48.67,Medium
16.15,11.68,8.24,5.23,19.1,Low
42.73,42.69,40.79,6.76,51.78,Medium
69.36,17.28,38.59,6.84,51.96,Medium
52.57,21.24,20.11,6.59,34.91,Medium
23.71,3.97,13.16,5.22,39.41,Low
43.98,27.3,15.0,7.02,63.24,Medium
74.88,59.09,62.87,6.99,64.14,High
20.68,6.83,17.73,4.7,26.84,Low
79.22,41.42,55.89,6.9,45.0,High
44.65,13.53,15.85,4.18,24.52,Low
15.46,9.76,5.13,4.65,30.45,Low
76.77,60.14,47.22,7.43,67.11,High
87.14,31.21,83.66,6.69,45.0,High
15.61,9.32,20.82,5.17,39.06,Low
60.78,26.49,24.66,6.07,27.11,Medium
56.79,34.01,32.82,6.61,67.09,Medium
82.32,48.9,59.58,7.23,45.0,High
16.18,2.79,2.65,5.63,27.08,Low
66.41,31.2,15.0,7.42,61.51,Medium
69.37,30.78,48.88,7.2,74.76,High
49.57,35.68,15.0,7.02,34.17,Medium
25.76,15.4,20.01,5.34,27.25,Low
11.76,6.67,5.26,4.58,31.2,Low
56.74,30.25,30.8,6.14,46.79,Medium
43.63,27.06,18.12,6.96,63.11,Medium
58.7,24.97,55.0,5.81,63.44,Medium
35.42,40.5,33.61,6.47,66.63,Medium
45.98,11.75,15.03,5.38,22.94,Low
48.63,18.87,55.0,6.57,53.18,Medium
16.38,4.28,10.65,6.0,14.07,Low
100.13,40.17,44.71,7.69,79.46,High
62.83,28.68,40.05,6.44,45.14,Medium
33.1,18.49,6.06,4.25,30.4,Low
32.37,10.98,9.49,4.06,26.02,Low
41.03,28.84,24.62,6.6,41.74,Medium
13.85,14.88,23.26,4.86,39.43,Low
31.51,11.64,13.77,5.41,8.99,Low
19.17,15.88,7.71,4.91,22.65,Low
64.79,50.24,39.5,6.53,31.5,Medium
57.89,47.45,29.28,6.04,61.72,Medium
36.58,12.33,4.44,4.93,16.82,Low
78.03,60.93,33.08,6.87,62.89,High
49.76,34.72,32.78,6.25,58.3,Medium
59.53,37.28,33.04,5.87,66.31,Medium
25.31,18.28,7.84,5.37,32.71,Low
37.94,25.41,5.58,3.8,10.56,Low
19.11,8.24,6.81,4.03,24.24,Low
94.78,61.8,53.54,6.08,75.59,High
32.31,6.32,5.96,5.06,23.05,Low
46.8,27.61,42.53,5.96,42.11,Medium
19.61,1.95,10.43,5.81,33.46,Low
18.6,18.22,13.63,5.15,18.3,Low
73.88,51.81,66.73,6.0,57.58,High
94.78,41.84,43.79,7.71,71.86,High
55.5,30.89,35.34,5.5,26.0,Medium
63.64,38.19,38.5,6.17,51.06,Medium
55.66,39.28,31.18,6.16,42.29,Medium
35.7,19.86,18.21,4.32,16.35,Low
102.23,66.88,73.3,7.57,71.88,High
32.33,27.68,51.67,6.78,53.38,Medium
60.36,33.39,26.91,5.77,56.74,Medium
22.12,19.04,12.9,6.0,38.92,Low
61.74,35.68,34.16,5.86,49.71,Medium
55.71,17.58,29.08,5.52,44.25,Medium
45.71,28.46,33.12,6.06,32.54,Medium
65.58,28.04,32.48,6.85,25.0,Medium
88.11,56.23,53.12,6.44,62.63,High
36.19,10.37,24.12,4.62,21.43,Low
40.46,6.78,21.32,5.91,41.18,Low
74.43,48.46,25.08,5.5,68.24,Medium
72.3,46.18,63.82,6.93,45.0,High
54.36,31.1,30.28,6.55,53.78,Medium
51.69,52.65,25.49,5.5,45.14,Medium
70.66,38.07,46.3,6.16,41.8,Medium
30.0,22.31,27.13,6.81,55.97,Medium
63.27,30.49,43.42,6.4,58.97,Medium
11.09,14.33,0.0,5.01,17.54,Low
29.2,21.86,15.81,4.94,28.11,Low
49.54,15.0,30.26,6.24,29.82,Medium
31.42,21.66,2.7,5.63,28.76,Low
87.1,53.16,66.9,6.95,64.82,High
81.34,70.62,30.0,6.0,59.08,High
62.44,40.3,27.76,5.82,39.4,Medium
123.72,59.91,65.75,6.81,51.3,High
54.6,17.85,40.97,5.94,69.96,Medium
43.15,0.97,28.36,5.26,13.66,Low
17.58,7.22,6.54,5.38,21.64,Low
8.4,7.82,16.78,4.11,23.7,Low
122.88,57.08,69.9,6.0,56.23,High
15.34,18.76,0.0,5.99,10.36,Low
28.25,3.99,7.45,3.94,38.59,Low
24.78,4.55,14.63,5.7,31.85,Low
33.7,39.82,39.76,7.5,25.0,Medium
55.76,29.45,26.13,5.54,51.49,Medium
120.12,61.22,64.16,6.98,67.57,High
65.68,23.05,24.87,6.51,30.57,Medium
16.87,18.8,3.65,5.05,41.98,Low
62.02,51.48,20.14,5.89,62.74,Medium
24.09,7.85,14.94,5.67,28.0,Low
88.7,51.84,67.37,6.83,50.31,High
19.96,11.15,5.51,6.0,17.65,Low
97.98,38.04,51.69,7.34,55.28,High
25.29,19.24,13.1,4.89,16.81,Low
28.04,6.16,22.21,4.6,28.69,Low
57.46,34.7,48.27,5.63,59.28,Medium
22.42,14.73,17.66,4.91,32.34,Low
19.42,3.65,16.82,4.82,5.0,Low
46.11,30.28,23.1,5.51,40.38,Medium
21.37,8.2,17.66,6.0,24.65,Low
35.39,16.81,13.81,5.12,36.09,Low
42.77,28.29,37.55,7.29,57.88,Medium
25.7,1.23,16.96,5.24,26.28,Low
68.75,18.14,34.04,6.05,42.27,Medium
116.64,59.18,50.36,6.29,58.05,High
18.22,7.26,14.96,4.96,22.59,Low
60.32,20.14,22.44,6.86,42.32,Medium
52.88,51.17,31.94,7.09,47.65,Medium
100.41,32.09,61.13,7.82,72.02,High
112.75,65.67,42.04,7.39,58.84,High
70.74,44.77,15.0,6.02,52.03,Medium
53.99,30.67,32.42,7.06,45.64,Medium
27.35,14.97,7.02,4.76,24.81,Low
60.77,23.52,27.92,5.93,58.74,Medium
102.43,47.21,51.04,6.14,64.63,High
17.67,10.28,11.72,6.0,21.6,Low
92.88,79.83,63.26,8.0,63.53,High
110.99,45.92,64.32,7.46,56.85,High
76.46,76.11,44.13,7.63,65.41,High
67.75,21.25,36.88,7.5,42.85,Medium
61.78,25.73,28.63,6.05,67.25,Medium
85.85,66.54,47.82,7.19,54.71,High
6.19,23.63,16.77,4.21,18.06,Low
50.06,34.69,29.15,6.13,41.69,Medium
20.83,7.24,13.78,4.31,28.14,Low
41.72,15.8,6.14,6.0,24.98,Low
60.8,49.17,66.23,7.09,57.56,High
29.81,3.84,21.9,4.88,19.75,Low
103.41,56.4,57.95,6.64,46.9,High
16.28,18.01,10.9,5.69,27.64,Low
38.69,25.56,35.21,6.23,59.69,Medium
58.29,28.51,32.47,5.5,68.85,Medium
97.1,74.37,69.2,7.21,59.05,High
30.15,12.71,17.08,4.78,12.73,Low
24.45,12.3,14.02,4.24,20.15,Low
13.73,15.08,8.09,5.99,14.62,Low
22.78,11.63,10.78,4.7,31.86,Low
11.88,5.55,11.99,6.0,43.46,Low
35.87,27.55,34.16,7.3,34.77,Medium
22.92,22.56,9.96,5.82,15.19,Low
82.99,65.94,82.15,6.73,45.0,High
26.75,8.71,10.58,4.67,20.37,Low
74.31,66.46,44.83,6.55,68.54,High
80.0,40.69,15.0,5.63,34.68,Medium
84.19,39.06,65.99,7.32,63.61,High
15.84,21.07,12.68,4.95,25.08,Low
46.07,3.12,15.2,4.43,31.91,Low
91.3,53.2,63.15,6.23,58.89,High
60.0,63.76,44.41,7.12,60.25,High
24.33,11.73,5.56,5.05,16.75,Low
40.27,18.7,16.5,5.06,26.42,Low
40.23,26.52,15.0,6.72,42.13,Medium
79.57,62.13,54.75,6.36,50.83,High
102.58,32.3,75.1,6.8,66.91,High
40.95,36.56,15.0,6.94,47.57,Medium
86.5,67.79,44.01,7.32,72.57,High
32.84,36.68,18.98,6.27,30.62,Medium
25.86,17.74,8.92,6.0,23.53,Low
14.67,4.13,23.34,6.0,35.21,Low
51.56,22.96,32.4,7.22,36.46,Medium
37.39,25.52,21.51,6.92,35.66,Medium
89.23,52.65,58.1,6.0,54.84,High
5.42,15.63,6.81,4.2,22.88,Low
85.15,41.25,46.34,6.21,61.54,High
107.46,60.94,48.77,7.37,73.28,High
83.14,41.67,71.66,7.61,72.0,High
29.41,14.11,8.87,4.76,28.67,Low
28.14,21.56,5.77,4.98,15.23,Low
30.0,15.0,37.06,6.45,45.28,Medium
36.55,16.01,21.24,5.48,9.15,Low
37.65,20.46,18.56,7.5,37.47,Medium
22.29,5.04,11.3,5.18,33.3,Low
104.92,73.12,59.39,7.58,57.23,High
103.17,53.21,66.39,6.96,63.06,High
102.61,38.23,31.02,7.63,66.79,High
38.45,16.23,14.54,5.08,5.97,Low
15.8,17.04,16.16,6.0,19.16,Low
57.71,32.51,16.23,6.8,46.42,Medium
60.76,37.05,27.74,5.5,58.47,Medium
100.76,66.16,56.08,7.28,77.25,High
61.32,36.96,31.26,6.96,70.0,Medium
96.1,54.98,54.86,7.22,68.67,High
27.99,3.76,15.96,5.79,10.13,Low
86.19,57.2,65.88,6.9,45.0,High
57.51,33.68,32.26,5.5,37.37,Medium
92.56,46.54,34.77,7.2,68.97,High
33.53,2.05,16.54,5.1,29.49,Low
24.52,6.41,12.52,5.45,17.43,Low
27.63,10.54,6.95,5.88,27.98,Low
62.66,28.88,22.36,6.84,28.55,Medium
35.66,46.14,19.31,6.65,53.85,Medium
15.26,18.45,11.31,4.52,21.88,Low
33.87,40.0,22.83,5.5,41.86,Medium
64.82,35.07,24.4,5.82,41.55,Medium
90.84,72.49,45.39,6.0,62.01,High
24.14,11.23,5.7,4.32,23.18,Low
50.29,21.39,20.76,6.46,57.89,Medium
39.95,35.82,36.52,6.01,65.18,Medium
64.98,19.43,15.13,7.14,57.67,Medium
17.35,15.04,15.54,5.53,10.17,Low
44.39,0.0,10.0,4.69,39.02,Low
15.1,18.1,11.04,5.15,26.77,Low
39.43,14.07,19.34,4.78,25.12,Low
88.4,89.58,61.24,7.22,64.52,High
55.44,32.98,28.42,5.51,60.27,Medium
14.02,8.53,15.92,5.2,25.51,Low
113.86,71.66,43.6,8.0,59.51,High
70.62,69.97,51.7,6.0,54.84,High
47.09,44.85,29.94,6.34,25.0,Medium
27.75,5.82,9.27,6.0,36.36,Low
