soil_moisture,temperature,humidity,ph,rainfall_mm,ET0,ETc,vpd_proxy,depletion,crop_type_enc,growth_stage_enc,irrigation_label
63.0,17.22,54.84,6.55,35.7,0.5,0.55,7.777,28.81,6,0,1
22.0,32.92,0.74,7.25,73.4,0.5,0.446,32.676,59.45,4,2,3
24.0,25.49,10.5,4.52,38.49,0.5,0.69,22.814,67.42,1,3,3
57.0,24.02,11.34,7.98,85.25,0.5,0.604,21.296,21.67,2,3,1
26.0,31.19,7.75,6.98,144.0,0.5,0.575,28.773,36.87,3,0,2
57.0,29.23,6.47,6.31,46.06,0.5,0.446,27.339,31.78,4,2,1
68.0,20.04,14.43,6.75,115.82,0.5,0.446,17.148,2.09,7,2,0
77.0,14.84,31.16,6.91,189.09,0.5,0.604,10.216,0.0,2,3,0
86.0,20.43,18.21,5.98,67.15,0.5,0.48,16.71,0.0,1,1,0
58.0,16.08,26.89,6.29,23.04,0.5,0.604,11.756,37.34,4,3,1
12.0,23.67,13.3,6.26,58.55,0.5,0.525,20.522,73.63,4,0,4
66.0,19.31,21.11,5.06,91.23,0.5,0.468,15.234,10.73,6,2,0
54.0,23.95,12.29,6.19,48.32,0.5,0.42,21.007,34.11,2,1,1
71.0,22.57,16.23,6.09,21.26,0.5,0.446,18.907,24.42,2,2,1
22.0,35.13,5.28,6.52,107.49,0.5,0.51,33.275,50.48,5,2,3
23.0,31.51,2.32,6.01,106.81,0.5,0.489,30.779,49.61,8,2,2
28.0,35.52,4.17,6.12,75.03,0.5,0.45,34.039,53.03,0,0,3
13.0,18.52,21.96,6.42,57.66,0.5,0.604,14.453,73.06,2,3,4
70.0,32.3,4.52,5.93,90.11,0.5,0.661,30.84,7.52,3,3,0
65.0,35.44,4.32,5.79,101.6,0.5,0.661,33.909,9.44,3,3,0
20.0,16.99,20.54,6.23,69.17,0.5,0.69,13.5,63.2,1,3,3
60.0,22.32,16.81,6.42,95.26,0.5,0.36,18.568,15.38,0,1,1
38.0,31.1,3.73,7.06,64.03,0.5,0.489,29.94,46.07,3,2,2
5.0,19.71,23.94,5.66,124.61,0.5,0.446,14.991,62.74,2,2,3
54.0,20.27,22.52,6.73,26.48,0.5,0.632,15.705,40.49,6,3,1
84.0,22.32,16.15,4.94,92.37,0.5,0.575,18.715,0.0,8,0,0
14.0,18.1,43.17,7.64,49.55,0.5,0.525,10.286,74.04,7,0,4
46.0,15.29,33.04,6.86,183.41,0.5,0.46,10.238,6.02,3,1,1
15.0,31.94,3.63,6.09,117.23,0.5,0.42,30.781,54.65,4,1,3
28.0,36.76,3.97,6.33,99.58,0.5,0.6,35.301,46.83,5,0,2
57.0,24.02,11.34,7.98,85.25,0.5,0.69,21.296,21.89,1,3,1
57.0,33.04,3.49,4.6,159.69,0.5,0.48,31.887,1.43,5,1,1
55.0,17.59,27.82,6.64,26.04,0.5,0.446,12.696,39.14,2,2,1
69.0,23.15,14.63,6.37,74.03,0.5,0.383,19.763,12.13,0,2,0
86.0,24.06,13.91,5.55,99.61,0.5,0.51,20.713,0.0,1,2,0
8.0,25.35,4.8,6.85,47.27,0.5,0.632,24.133,80.92,6,3,4
80.0,20.28,11.41,6.97,159.66,0.5,0.661,17.966,0.0,3,3,0
29.0,16.98,20.09,6.14,67.39,0.5,0.44,13.569,54.05,6,1,3
65.0,27.59,7.9,6.68,48.3,0.5,0.42,25.41,23.11,4,1,1
49.0,33.54,1.27,6.6,70.27,0.5,0.525,33.114,33.49,4,0,2
86.0,20.43,18.21,5.98,67.15,0.5,0.575,16.71,0.0,8,0,0
53.0,17.64,17.27,7.01,109.66,0.5,0.489,14.594,18.85,8,2,1
44.0,31.86,2.22,7.47,103.92,0.5,0.525,31.153,29.48,7,0,1
19.0,23.0,16.45,8.18,64.59,0.5,0.46,19.216,64.85,3,1,3
86.0,24.06,13.91,5.55,99.61,0.5,0.468,20.713,0.0,6,2,0
62.0,30.96,3.91,7.35,99.37,0.5,0.525,29.749,12.7,2,0,1
8.0,35.75,4.91,5.8,67.1,0.5,0.46,33.995,75.18,8,1,4
50.0,20.26,25.18,7.01,164.27,0.5,0.42,15.159,7.05,7,1,1
48.0,30.68,1.24,6.87,74.17,0.5,0.46,30.3,33.28,3,1,2
86.0,22.48,18.02,5.96,64.03,0.5,0.468,18.429,0.0,6,2,0
46.0,32.65,0.86,6.8,63.52,0.5,0.446,32.369,38.1,7,2,2
63.0,36.33,4.69,6.43,69.22,0.5,0.51,34.626,19.73,1,2,1
54.0,30.96,4.15,6.21,109.28,0.5,0.55,29.675,18.1,6,0,1
13.0,19.02,29.64,5.59,198.67,0.5,0.661,13.382,35.44,8,3,2
15.0,29.49,5.61,6.16,102.56,0.5,0.468,27.836,58.7,6,2,3
77.0,33.77,3.39,7.31,134.86,0.5,0.525,32.625,0.0,7,0,0
14.0,18.1,43.17,7.64,49.55,0.5,0.69,10.286,74.45,1,3,4
87.0,24.02,13.69,5.68,111.78,0.5,0.632,20.732,0.0,6,3,0
4.0,31.33,5.32,6.93,41.88,0.5,0.604,29.663,86.29,7,3,4
41.0,24.6,9.2,6.0,145.42,0.5,0.661,22.337,21.7,8,3,1
61.0,32.87,2.58,6.54,73.85,0.5,0.48,32.022,20.42,5,1,1
55.0,31.46,8.34,6.25,156.15,0.5,0.51,28.836,4.45,1,2,1
76.0,31.27,1.42,7.37,62.83,0.5,0.51,30.826,8.44,1,2,0
24.0,28.76,7.33,6.53,81.06,0.5,0.383,26.652,55.24,0,2,3
52.0,26.91,6.49,5.76,108.37,0.5,0.661,25.164,20.63,8,3,1
25.0,24.59,11.5,6.35,48.99,0.5,0.6,21.762,63.38,1,0,3
57.0,28.36,5.77,5.64,97.56,0.5,0.525,26.724,18.18,2,0,1
80.0,19.32,22.74,6.03,257.0,0.5,0.383,14.927,0.0,0,2,0
66.0,15.75,20.58,5.7,67.04,0.5,0.525,12.509,17.36,2,0,1
68.0,17.94,16.32,7.13,106.28,0.5,0.55,15.012,4.91,6,0,0
69.0,33.59,3.67,6.21,119.85,0.5,0.44,32.357,0.0,6,1,0
12.0,22.51,18.55,6.81,90.14,0.5,0.55,18.334,65.23,6,0,3
1.0,29.1,5.97,6.27,178.73,0.5,0.575,27.363,52.56,3,0,3
36.0,18.27,27.62,6.7,186.69,0.5,0.446,13.224,15.11,2,2,1
44.0,17.23,17.2,5.84,172.05,0.5,0.604,14.266,11.42,4,3,1
90.0,28.22,9.64,8.38,75.63,0.5,0.604,25.5,0.0,4,3,0
81.0,35.04,5.66,6.64,90.99,0.5,0.575,33.057,0.0,3,0,0
67.0,28.32,7.04,5.56,131.09,0.5,0.42,26.326,0.0,2,1,0
31.0,22.64,16.92,6.29,35.73,0.5,0.6,18.809,60.93,5,0,3
69.0,13.95,32.02,5.56,104.51,0.5,0.36,9.483,3.91,0,1,0
48.0,18.59,26.15,6.14,196.66,0.5,0.46,13.729,0.47,8,1,1
88.0,20.28,22.04,5.94,287.58,0.5,0.69,15.81,0.0,1,3,0
42.0,30.04,6.67,6.11,54.23,0.5,0.42,28.036,44.52,7,1,2
47.0,25.96,4.42,6.94,196.24,0.5,0.42,24.813,1.49,4,1,1
29.0,26.18,11.26,5.88,118.4,0.5,0.661,23.232,40.94,3,3,2
12.0,19.17,29.56,7.12,217.38,0.5,0.46,13.503,30.92,8,1,2
16.0,20.94,21.34,5.59,129.34,0.5,0.446,16.471,50.47,4,2,3
51.0,15.51,25.81,5.57,106.14,0.5,0.489,11.507,21.79,8,2,1
56.0,18.12,44.16,6.77,46.91,0.5,0.575,10.118,32.87,3,0,1
5.0,19.71,23.94,5.66,124.61,0.5,0.51,14.991,62.9,1,2,3
69.0,27.27,7.4,6.73,59.76,0.5,0.46,25.252,16.14,3,1,1
26.0,25.82,8.74,6.0,40.71,0.5,0.632,23.563,64.68,6,3,3
77.0,31.4,7.16,6.33,166.25,0.5,0.632,29.152,0.0,6,3,0
43.0,19.36,21.24,5.1,96.39,0.5,0.525,15.248,32.49,2,0,2
48.0,18.59,26.15,6.14,196.66,0.5,0.525,13.729,0.64,7,0,1
6.0,19.45,20.29,5.11,242.32,0.5,0.468,15.504,30.26,6,2,2
1.0,29.86,3.34,7.65,109.76,0.5,0.6,28.863,71.1,1,0,4
44.0,21.16,23.66,5.56,285.25,0.5,0.575,16.154,0.0,3,0,1
60.0,25.8,10.15,5.89,66.48,0.5,0.446,23.181,23.31,4,2,1
3.0,24.8,11.46,7.01,105.48,0.5,0.489,21.958,69.97,3,2,3
13.0,18.98,22.65,7.06,46.76,0.5,0.69,14.681,76.2,1,3,4
51.0,20.57,12.82,6.76,231.52,0.5,0.517,17.933,0.0,0,3,1
54.0,26.05,8.93,4.61,33.84,0.5,0.42,23.724,37.99,2,1,1
51.0,19.71,25.87,6.74,168.78,0.5,0.525,14.611,5.1,7,0,1
83.0,16.12,21.69,6.21,68.69,0.5,0.525,12.624,0.0,7,0,0
65.0,26.39,12.62,7.95,84.13,0.5,0.489,23.06,13.69,3,2,0
28.0,35.52,4.17,6.12,75.03,0.5,0.517,34.039,53.2,0,3,3
50.0,32.54,1.14,7.51,63.3,0.5,0.632,32.169,34.63,6,3,1
37.0,17.5,29.07,6.27,21.18,0.5,0.604,12.413,58.84,7,3,2
38.0,27.78,9.82,6.85,80.04,0.5,0.517,25.052,41.85,0,3,2
7.0,34.12,3.4,4.76,192.3,0.5,0.446,32.96,42.61,4,2,2
90.0,30.14,6.68,6.68,48.58,0.5,0.51,28.127,0.0,1,2,0
22.0,33.25,3.58,6.99,136.83,0.5,0.45,32.06,42.47,0,0,2
86.0,25.02,9.13,6.35,47.9,0.5,0.661,22.736,2.82,3,3,0
76.0,23.01,18.54,6.14,98.82,0.5,0.575,18.744,0.0,8,0,0
1.0,31.0,7.42,7.13,126.81,0.5,0.525,28.7,66.35,7,0,3
39.0,26.96,9.64,7.26,117.97,0.5,0.446,24.361,30.52,7,2,2
40.0,32.82,4.0,5.62,118.28,0.5,0.575,31.507,29.76,8,0,1
5.0,24.91,12.4,8.62,31.83,0.5,0.36,21.821,87.37,0,1,4
77.0,27.32,5.97,6.6,113.25,0.5,0.604,25.689,0.0,4,3,0
63.0,19.89,22.11,6.5,295.92,0.5,0.604,15.492,0.0,7,3,1
58.0,29.31,6.14,6.42,84.63,0.5,0.489,27.51,20.55,3,2,1
24.0,25.23,9.68,5.06,98.47,0.5,0.48,22.788,50.82,1,1,3
11.0,19.1,27.92,6.59,295.61,0.5,0.604,13.767,11.33,2,3,1
42.0,18.99,21.34,6.27,89.29,0.5,0.383,14.938,35.04,0,2,2
8.0,33.63,1.68,7.18,67.83,0.5,0.6,33.065,75.33,5,0,4
5.0,24.91,12.4,8.62,31.83,0.5,0.69,21.821,88.2,1,3,4
38.0,34.56,3.1,6.23,74.66,0.5,0.46,33.489,43.15,8,1,2
81.0,17.1,28.94,6.63,21.62,0.5,0.51,12.151,14.48,1,2,0
67.0,14.26,33.48,7.26,191.65,0.5,0.6,9.486,0.0,1,0,0
34.0,22.08,19.08,8.06,40.83,0.5,0.446,17.867,56.18,2,2,3
35.0,21.28,21.41,5.82,120.45,0.5,0.55,16.724,34.11,6,0,2
81.0,32.06,0.89,6.6,73.38,0.5,0.604,31.775,0.85,4,3,0
4.0,30.08,9.74,7.23,181.64,0.5,0.42,27.15,48.4,4,1,2
37.0,20.94,22.58,7.22,265.54,0.5,0.42,16.212,0.0,4,1,1
13.0,16.18,32.76,7.18,192.49,0.5,0.42,10.879,36.49,2,1,2
71.0,24.17,11.06,6.56,97.77,0.5,0.44,21.497,3.91,6,1,0
64.0,17.84,18.72,6.54,104.62,0.5,0.525,14.5,9.29,4,0,1
24.0,28.76,7.33,6.53,81.06,0.5,0.6,26.652,55.79,5,0,3
48.0,16.79,29.77,6.15,29.11,0.5,0.51,11.792,45.48,1,2,2
4.0,21.39,17.58,7.56,76.64,0.5,0.45,17.63,76.6,0,0,4
90.0,18.22,29.13,5.97,134.18,0.5,0.46,12.913,0.0,3,1,0
16.0,16.3,30.04,6.16,27.27,0.5,0.69,11.403,78.42,5,3,4
44.0,21.16,22.01,5.82,96.66,0.5,0.51,16.503,31.38,1,2,2
12.0,22.51,18.55,6.81,90.14,0.5,0.632,18.334,65.44,6,3,3
48.0,17.54,22.87,5.71,108.08,0.5,0.36,13.529,23.95,0,1,1
9.0,31.47,8.31,6.91,139.5,0.5,0.446,28.855,54.75,7,2,3
89.0,18.78,20.86,7.12,51.53,0.5,0.45,14.862,0.0,0,0,0
43.0,25.6,9.34,6.89,44.47,0.5,0.42,23.209,46.14,2,1,2
65.0,29.85,5.05,5.57,117.66,0.5,0.525,28.343,4.8,7,0,0
35.0,33.42,2.9,6.24,175.93,0.5,0.46,32.451,19.03,3,1,1
30.0,28.76,6.53,5.51,104.91,0.5,0.46,26.882,43.05,3,1,2
39.0,32.69,4.29,6.49,90.46,0.5,0.632,31.288,38.35,6,3,2
55.0,17.38,17.74,7.06,52.85,0.5,0.42,14.297,31.89,7,1,1
79.0,26.61,7.6,6.21,162.84,0.5,0.489,24.588,0.0,3,2,0
63.0,17.22,54.84,6.55,35.7,0.5,0.517,7.777,28.73,0,3,1
14.0,32.19,0.81,6.66,72.51,0.5,0.55,31.929,67.95,6,0,3
23.0,27.34,7.09,6.17,222.8,0.5,0.446,25.402,18.44,4,2,1
1.0,29.1,5.97,6.27,178.73,0.5,0.46,27.363,52.28,3,1,3
70.0,15.73,32.15,7.09,153.92,0.5,0.604,10.673,0.0,2,3,0
45.0,24.04,13.64,5.66,99.98,0.5,0.604,20.761,29.73,4,3,1
54.0,30.96,4.15,6.21,109.28,0.5,0.42,29.675,17.78,2,1,1
31.0,31.6,4.54,6.23,116.16,0.5,0.525,30.165,39.2,4,0,2
57.0,18.76,21.94,4.53,93.17,0.5,0.46,14.644,19.19,3,1,1
36.0,29.44,6.76,6.4,109.04,0.5,0.55,27.45,36.17,6,0,2
38.0,34.56,3.1,6.23,74.66,0.5,0.51,33.489,43.28,5,2,2
10.0,29.26,6.0,5.55,192.9,0.5,0.575,27.504,39.77,8,0,2
66.0,21.24,11.08,6.58,63.35,0.5,0.6,18.887,18.53,1,0,1
26.0,34.13,3.16,6.57,100.55,0.5,0.604,33.051,48.58,7,3,2
78.0,24.66,13.18,5.53,100.6,0.5,0.69,21.41,0.0,5,3,0
71.0,30.2,1.66,6.78,68.57,0.5,0.55,29.699,12.01,6,0,0
84.0,21.04,19.48,6.03,161.25,0.5,0.446,16.941,0.0,2,2,0
77.0,14.84,31.16,6.91,189.09,0.5,0.44,10.216,0.0,6,1,0
74.0,20.11,11.74,6.57,62.69,0.5,0.42,17.749,10.26,2,1,0
52.0,29.6,6.02,6.32,73.77,0.5,0.661,27.818,29.89,8,3,1
33.0,16.42,21.37,5.69,74.54,0.5,0.46,12.911,48.19,8,1,2
72.0,25.44,12.12,5.95,105.4,0.5,0.69,22.357,1.49,5,3,0
52.0,22.07,10.9,6.66,214.41,0.5,0.604,19.664,0.0,2,3,1
37.0,30.83,4.11,6.39,117.54,0.5,0.51,29.563,32.79,5,2,2
7.0,20.3,11.61,6.61,234.85,0.5,0.36,17.943,30.99,0,1,2
24.0,27.38,14.2,5.75,109.22,0.5,0.46,23.492,47.9,3,1,2
49.0,33.02,1.3,7.41,74.24,0.5,0.46,32.591,32.26,3,1,2
13.0,18.97,19.9,6.29,71.63,0.5,0.489,15.195,69.03,3,2,3
32.0,13.97,32.71,6.97,164.5,0.5,0.45,9.4,25.06,0,0,1
49.0,33.02,1.3,7.41,74.24,0.5,0.489,32.591,32.33,3,2,2
77.0,20.6,21.56,6.16,25.13,0.5,0.36,16.159,17.17,0,1,1
32.0,20.46,22.37,5.62,84.64,0.5,0.517,15.883,46.62,0,3,2
65.0,33.67,3.6,6.12,155.37,0.5,0.632,32.458,0.0,6,3,0
35.0,21.28,21.41,5.82,120.45,0.5,0.604,16.724,34.25,4,3,2
15.0,14.29,32.72,6.12,140.63,0.5,0.69,9.614,49.06,5,3,2
24.0,17.19,17.26,5.96,218.01,0.5,0.575,14.223,19.04,8,0,1
2.0,18.82,20.79,6.59,51.56,0.5,0.604,14.907,85.7,2,3,4
76.0,30.34,5.56,5.27,71.63,0.5,0.46,28.653,5.96,8,1,0
28.0,24.91,10.03,7.67,54.49,0.5,0.446,22.412,58.52,2,2,3
52.0,31.12,5.38,6.21,66.6,0.5,0.575,29.446,31.6,3,0,1
6.0,33.68,1.48,7.4,60.42,0.5,0.489,33.182,79.04,3,2,4
3.0,32.76,1.5,7.78,68.92,0.5,0.517,32.269,79.83,0,3,4
60.0,18.26,23.23,6.49,56.76,0.5,0.517,14.018,26.09,0,3,1
84.0,34.36,5.97,6.58,108.83,0.5,0.42,32.309,0.0,4,1,0
75.0,23.79,16.23,5.89,52.08,0.5,0.517,19.929,12.34,0,3,0
26.0,29.74,6.38,7.18,88.94,0.5,0.42,27.843,51.23,4,1,3
55.0,17.59,27.82,6.64,26.04,0.5,0.45,12.696,39.15,0,0,1
38.0,22.44,9.85,6.84,165.74,0.5,0.575,20.23,19.04,3,0,1
45.0,29.61,4.88,7.07,58.53,0.5,0.525,28.165,40.63,7,0,2
78.0,17.87,16.51,6.75,105.22,0.5,0.446,14.92,0.0,7,2,0
88.0,32.59,2.07,7.24,62.31,0.5,0.661,31.915,0.0,8,3,0
87.0,33.04,2.04,7.15,66.37,0.5,0.525,32.366,0.0,4,0,0
24.0,19.46,24.42,5.74,124.98,0.5,0.632,14.708,44.1,6,3,2
48.0,17.54,22.87,5.71,108.08,0.5,0.46,13.529,24.2,3,1,1
1.0,29.86,3.34,7.65,109.76,0.5,0.42,28.863,70.65,4,1,4
87.0,28.14,9.74,7.5,85.37,0.5,0.44,25.399,0.0,6,1,0
70.0,32.02,3.82,6.2,72.33,0.5,0.46,30.797,11.78,8,1,0
50.0,26.52,14.83,8.26,77.82,0.5,0.51,22.587,30.43,5,2,1
52.0,16.99,20.1,6.68,58.19,0.5,0.661,13.575,34.07,3,3,1
21.0,30.94,4.86,6.38,54.83,0.5,0.489,29.436,65.54,8,2,3
87.0,26.18,4.95,7.57,103.2,0.5,0.446,24.884,0.0,2,2,0
58.0,23.64,15.44,5.7,76.14,0.5,0.69,19.99,23.33,5,3,1
16.0,20.76,22.83,6.13,183.68,0.5,0.46,16.02,35.95,8,1,2
60.0,27.38,6.08,6.97,101.14,0.5,0.575,25.715,14.35,3,0,1
50.0,28.14,12.24,6.47,74.05,0.5,0.46,24.696,31.31,3,1,1
79.0,19.05,21.28,6.52,94.67,0.5,0.446,14.996,0.0,7,2,0
85.0,20.76,21.09,6.13,23.28,0.5,0.525,16.382,10.08,4,0,0
5.0,17.48,50.66,7.5,37.16,0.5,0.489,8.625,86.27,3,2,4
88.0,28.94,6.62,7.81,90.42,0.5,0.36,27.024,0.0,0,1,0
19.0,25.17,9.8,6.26,46.77,0.5,0.661,22.703,70.13,3,3,4
49.0,19.19,26.0,6.33,150.32,0.5,0.55,14.201,12.11,6,0,1
22.0,18.24,28.24,5.66,68.51,0.5,0.661,13.089,61.3,8,3,3
60.0,17.32,51.46,7.2,48.28,0.5,0.45,8.407,28.19,0,0,1
51.0,22.12,17.36,6.56,27.57,0.5,0.69,18.28,43.34,5,3,1
12.0,23.15,8.95,6.99,182.03,0.5,0.42,21.078,40.29,4,1,2
5.0,30.67,4.0,6.92,51.75,0.5,0.36,29.443,82.04,0,1,4
87.0,17.07,28.38,6.01,22.07,0.5,0.525,12.226,8.4,7,0,0
31.0,18.4,27.62,7.04,36.5,0.5,0.46,13.318,60.37,8,1,3
59.0,30.81,3.94,7.95,95.02,0.5,0.575,29.596,16.99,8,0,1
41.0,20.6,21.21,6.09,190.42,0.5,0.69,16.231,9.72,5,3,1
14.0,32.81,6.84,7.28,193.59,0.5,0.517,30.566,35.44,0,3,2
18.0,30.27,3.27,7.91,108.83,0.5,0.604,29.28,54.36,4,3,3
90.0,36.66,3.75,5.73,100.77,0.5,0.489,35.285,0.0,3,2,0
26.0,34.13,3.16,6.57,100.55,0.5,0.69,33.051,48.79,1,3,2
41.0,20.6,21.21,6.09,190.42,0.5,0.46,16.231,9.14,3,1,1
32.0,17.5,17.69,6.61,110.46,0.5,0.525,14.404,39.72,2,0,2
42.0,21.43,20.3,5.98,130.39,0.5,0.446,17.08,24.19,4,2,1
14.0,31.36,2.92,7.13,111.17,0.5,0.48,30.444,57.42,1,1,3
20.0,25.94,12.22,7.43,83.47,0.5,0.604,22.77,59.15,2,3,3
26.0,16.26,21.83,6.36,66.54,0.5,0.42,12.71,57.23,7,1,3
22.0,17.63,27.85,6.33,21.85,0.5,0.525,12.72,73.46,2,0,3
89.0,27.35,6.89,6.2,99.47,0.5,0.6,25.466,0.0,1,0,0
85.0,25.62,4.58,6.74,202.06,0.5,0.46,24.447,0.0,3,1,0
24.0,17.19,17.26,5.96,218.01,0.5,0.48,14.223,18.81,1,1,1
68.0,31.54,4.1,6.18,112.98,0.5,0.575,30.247,3.18,3,0,0
27.0,31.46,8.36,6.85,133.11,0.5,0.69,28.83,39.07,5,3,2
35.0,21.28,21.41,5.82,120.45,0.5,0.525,16.724,34.05,7,0,2
88.0,25.88,11.28,6.47,66.19,0.5,0.604,22.961,0.0,7,3,0
43.0,23.3,12.64,6.17,45.37,0.5,0.46,20.355,46.0,8,1,2
54.0,29.96,4.36,6.11,90.95,0.5,0.42,28.654,22.69,2,1,1
4.0,30.55,4.86,6.09,49.09,0.5,0.42,29.065,83.9,4,1,4
63.0,19.89,22.11,6.5,295.92,0.5,0.46,15.492,0.0,8,1,1
76.0,31.27,1.42,7.37,62.83,0.5,0.446,30.826,8.28,4,2,0
59.0,31.33,3.9,5.88,110.13,0.5,0.575,30.108,12.94,3,0,1
75.0,24.02,14.79,7.1,76.78,0.5,0.489,20.467,5.66,8,2,0
60.0,26.94,7.5,6.94,51.51,0.5,0.46,24.92,27.35,3,1,1
88.0,35.13,2.58,6.42,70.23,0.5,0.48,34.224,0.0,1,1,0
27.0,26.77,9.08,6.05,69.82,0.5,0.55,24.339,55.67,6,0,3
16.0,20.5,11.7,6.77,88.13,0.5,0.48,18.102,61.59,1,1,3
7.0,23.4,14.01,6.53,26.32,0.5,0.42,20.122,87.0,7,1,4
18.0,20.52,22.51,7.32,150.25,0.5,0.42,15.901,42.8,7,1,2
49.0,17.8,22.57,5.83,104.77,0.5,0.604,13.783,24.45,7,3,1
63.0,33.28,7.15,6.59,96.46,0.5,0.42,30.9,12.21,7,1,1
76.0,15.22,33.02,6.07,171.49,0.5,0.661,10.194,0.0,3,3,0
59.0,31.32,8.02,6.35,145.11,0.5,0.48,28.808,3.33,5,1,1
7.0,22.12,18.52,7.79,55.22,0.5,0.661,18.023,79.86,3,3,4
59.0,32.17,0.7,7.73,70.41,0.5,0.525,31.945,23.45,4,0,1
90.0,20.43,22.04,6.44,26.52,0.5,0.383,15.927,3.85,0,2,0
40.0,34.83,2.88,7.49,88.55,0.5,0.42,33.827,37.33,4,1,2
4.0,26.78,7.56,6.51,47.82,0.5,0.446,24.755,84.31,2,2,4
49.0,21.74,20.9,5.75,87.76,0.5,0.604,17.196,29.0,4,3,1
14.0,24.06,12.16,6.77,58.29,0.5,0.42,21.134,71.44,4,1,4
11.0,20.25,23.97,4.61,33.49,0.5,0.489,15.396,81.25,8,2,4
80.0,25.87,8.34,4.76,98.68,0.5,0.489,23.712,0.0,3,2,0
62.0,30.96,3.91,7.35,99.37,0.5,0.45,29.749,12.51,0,0,1
78.0,17.87,16.51,6.75,105.22,0.5,0.575,14.92,0.0,3,0,0
63.0,18.18,17.92,6.31,111.22,0.5,0.42,14.922,8.26,2,1,1
52.0,30.94,4.11,6.21,87.54,0.5,0.525,29.668,25.86,7,0,1
69.0,22.13,14.89,4.65,94.49,0.5,0.489,18.835,6.91,3,2,0
20.0,21.62,26.22,7.07,260.26,0.5,0.517,15.951,11.58,0,3,1
19.0,25.17,9.8,6.26,46.77,0.5,0.604,22.703,69.98,2,3,3
40.0,19.74,24.25,8.64,70.1,0.5,0.55,14.953,42.6,6,0,2
70.0,16.0,22.56,7.09,36.45,0.5,0.6,12.39,21.74,1,0,1
39.0,18.44,41.26,6.77,50.43,0.5,0.6,10.832,48.99,5,0,2
51.0,34.46,3.87,8.75,81.99,0.5,0.48,33.126,28.24,1,1,1
68.0,21.3,16.26,6.59,110.96,0.5,0.69,17.837,4.0,5,3,0
89.0,25.52,10.74,6.15,105.53,0.5,0.46,22.779,0.0,8,1,0
24.0,30.84,5.18,6.65,57.23,0.5,0.51,29.242,61.95,1,2,3
33.0,18.27,14.82,5.69,151.08,0.5,0.36,15.562,27.43,0,1,1
17.0,28.49,8.27,5.86,198.83,0.5,0.661,26.134,31.4,3,3,2
58.0,29.15,5.4,6.73,44.3,0.5,0.42,27.576,31.18,2,1,1
57.0,30.52,3.09,6.95,100.2,0.5,0.661,29.577,17.81,3,3,1
50.0,30.44,4.79,8.2,89.73,0.5,0.468,28.982,27.13,6,2,1
18.0,17.4,22.62,6.89,108.55,0.5,0.661,13.464,54.58,8,3,3
38.0,33.04,1.29,7.36,65.24,0.5,0.51,32.614,45.8,1,2,2
77.0,34.73,2.86,6.92,79.93,0.5,0.6,33.737,3.09,1,0,0
29.0,16.98,20.09,6.14,67.39,0.5,0.446,13.569,54.06,4,2,3
14.0,31.06,3.9,7.26,96.33,0.5,0.575,29.849,61.64,3,0,3
52.0,30.94,4.11,6.21,87.54,0.5,0.575,29.668,25.99,8,0,1
80.0,18.87,30.63,5.74,263.64,0.5,0.69,13.09,0.0,5,3,0
64.0,30.67,4.17,7.31,67.06,0.5,0.51,29.391,19.31,5,2,1
64.0,28.67,7.16,6.65,54.77,0.5,0.46,26.617,22.48,8,1,1
86.0,34.93,4.87,5.77,88.1,0.5,0.632,33.229,0.0,6,3,0
90.0,31.6,4.42,5.57,98.17,0.5,0.575,30.203,0.0,3,0,0
68.0,33.67,1.16,7.71,63.18,0.5,0.45,33.279,16.2,0,0,1
12.0,19.04,23.14,6.0,186.75,0.5,0.46,14.634,39.13,8,1,2
51.0,19.02,20.26,6.79,40.78,0.5,0.383,15.167,39.03,0,2,1
14.0,16.0,31.8,6.51,157.12,0.5,0.489,10.912,45.14,8,2,2
84.0,31.73,3.74,7.69,94.71,0.5,0.446,30.543,0.0,7,2,0
16.0,20.5,11.7,6.77,88.13,0.5,0.489,18.102,61.62,8,2,3
64.0,20.73,22.3,5.82,60.28,0.5,0.6,16.107,21.35,1,0,1
18.0,25.66,8.9,6.69,70.97,0.5,0.661,23.376,64.64,8,3,3
44.0,27.54,6.36,5.73,100.51,0.5,0.69,25.788,30.8,5,3,2
8.0,25.35,4.8,6.85,47.27,0.5,0.661,24.133,80.99,8,3,4
45.0,26.11,4.93,5.93,41.78,0.5,0.525,24.823,45.12,7,0,2
48.0,27.26,10.27,5.97,109.59,0.5,0.42,24.46,23.7,2,1,1
55.0,17.72,16.95,6.28,150.05,0.5,0.525,14.716,6.12,7,0,1
52.0,30.84,4.01,6.14,86.01,0.5,0.575,29.603,26.4,3,0,1
79.0,20.68,21.97,7.07,183.62,0.5,0.661,16.137,0.0,3,3,0
34.0,34.07,3.49,4.9,197.11,0.5,0.525,32.881,14.51,4,0,1
47.0,16.09,21.85,6.91,40.53,0.5,0.446,12.574,43.26,2,2,2
54.0,29.95,6.67,6.41,56.4,0.5,0.6,27.952,32.39,1,0,1
41.0,27.07,6.27,6.41,101.48,0.5,0.446,25.373,32.93,7,2,2
58.0,31.13,3.49,6.92,42.11,0.5,0.446,30.044,31.84,2,2,1
9.0,18.31,21.84,5.9,68.74,0.5,0.604,14.311,74.1,7,3,4
49.0,26.94,15.66,5.86,65.28,0.5,0.468,22.721,34.68,6,2,2
